Pair_a,ms_ssim1,ms_ssim2,psnr_hvs[0],psnr_hvs[1],vif,iw_ssim,fsim,nlpd,lpips_yuv,lpips_y,dists_yuv,dists_y,vamf
ref_12_Img10,0.933189976,0.923485637,29.8092682,24.02855775,0.294653356,0.912531018,0.926617384,0.269308239,0.344465315,0.448659658,0.116201043,0.164778471,64.103519
ref_12_Img11,0.904432986,0.889815867,26.93619292,22.24105093,0.231098205,0.873800874,0.896235704,0.320426315,0.399489522,0.517327905,0.148085415,0.224812746,54.910243
ref_12_Img12,0.98266247,0.982939899,42.71767288,31.733381,0.611780763,0.138155729,0.981374502,0.985053539,0.272078395,0.245137632,0.049174905,0.03618753,88.167765
ref_12_Img13,0.976377548,0.975661695,40.31526958,29.90894606,0.535181701,0.973226488,0.977819204,0.160480455,0.313096941,0.292616189,0.061992228,0.060461521,84.74477
ref_12_Img14,0.961941287,0.95873028,36.31727957,27.25317844,0.421842843,0.954083383,0.961383104,0.203650519,0.386290491,0.367522538,0.093458652,0.102221251,77.853653
ref_12_Img15,0.947936498,0.942206383,33.13084732,25.53278053,0.350625992,0.934530973,0.944724262,0.236157656,0.444230676,0.429366022,0.122350812,0.129664361,71.439959
ref_12_Img16,0.914363521,0.901483119,28.92227048,23.19375173,0.260626256,0.888420045,0.905921221,0.300105184,0.53793478,0.528688133,0.175349355,0.205972195,59.751502
ref_12_Img2,0.987579813,0.987368822,43.56086027,33.42554529,0.711458921,0.987687111,0.98920387,0.10990712,0.173828721,0.208236516,0.024223149,0.038869381,90.963093
ref_12_Img3,0.979293991,0.978822708,39.94606858,30.90919035,0.607438087,0.977623284,0.980430067,0.137365013,0.226634458,0.262440622,0.046333194,0.069322705,88.161679
ref_12_Img4,0.960759648,0.960288525,34.93005986,27.50066887,0.464218944,0.956262231,0.964377999,0.183598235,0.328529567,0.360643297,0.098666728,0.119304359,81.232659
ref_12_Img5,0.942831983,0.942452252,32.57423789,25.98449917,0.394820422,0.930565298,0.948160172,0.218992576,0.370076478,0.40517059,0.127398074,0.150613368,73.557582
ref_12_Img6,0.910876038,0.910360038,28.51539497,23.53902693,0.313373238,0.88445878,0.919445515,0.271071285,0.456230044,0.482851028,0.18034482,0.207844555,61.948905
ref_12_Img7,0.980233475,0.980590284,39.2112354,30.72516819,0.585876584,0.978327036,0.980094492,0.150016427,0.173734039,0.245979771,0.035594702,0.055291593,85.379092
ref_12_Img8,0.97255271,0.971715391,36.65773236,28.75480815,0.498304307,0.968065143,0.970613003,0.175385714,0.212978169,0.294749975,0.054611146,0.085615098,82.418462
ref_12_Img9,0.959152572,0.955412447,33.45235191,26.49927537,0.398763359,0.949478149,0.954430342,0.213689104,0.271476984,0.360077262,0.080826044,0.121335804,74.814742
ref_13_Img1,1,1,100000,100000,0.99999851,1.000000119,1,0,0,0,0,-1.19E-07,97.428094
ref_13_Img10,0.979174857,0.977910697,40.80865122,30.70409038,0.528315902,0.974652171,0.980535209,0.15483211,0.283317208,0.340084434,0.06863004,0.07206744,87.146096
ref_13_Img11,0.963529079,0.957767248,34.25443276,27.00692014,0.373885453,0.949667215,0.954888999,0.209743306,0.396478206,0.450821221,0.11843884,0.12989372,76.256135
ref_13_Img12,0.945663038,0.934833169,30.29346775,24.79825563,0.291151285,0.922551811,0.926396251,0.256207854,0.462839842,0.512661338,0.15728724,0.182992518,66.955028
ref_13_Img13,0.932071493,0.917850316,27.80614145,23.36471007,0.246329948,0.291463733,0.899175465,0.902687609,0.497324586,0.550424695,0.214092255,0.235202074,60.162036
ref_13_Img14,0.920963197,0.922134697,25.32854686,22.40027132,0.292972416,0.883257687,0.906428337,0.293370754,0.442881286,0.522112668,0.181596339,0.212661147,44.757812
ref_13_Img15,0.973559651,0.978379071,36.55355662,29.32500872,0.568289578,0.96833998,0.978308737,0.168313563,0.302759707,0.364288211,0.052402735,0.065021873,77.11891
ref_13_Img16,0.977335711,0.980110407,37.09040153,30.07060055,0.597694099,0.972400486,0.979200423,0.156437114,0.278336704,0.335413396,0.048247159,0.057205617,80.514537
ref_13_Img2,0.966622715,0.966354668,26.32306901,23.4714056,0.643163025,0.947594404,0.954167664,0.210125461,0.285074294,0.34468317,0.100793242,0.12900424,50.222721
ref_13_Img3,0.935180657,0.934208155,22.07596268,20.22521975,0.489822805,0.878248274,0.909692764,0.288286597,0.354045987,0.416755021,0.155536354,0.182658136,24.577157
ref_13_Img4,0.922993079,0.921767771,21.13253749,19.4679332,0.461796552,0.84946394,0.89361918,0.312552273,0.374495625,0.437367618,0.172460735,0.199010193,16.850282
